Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
smartdevices, 2581, 3278, 1, 1, 10, 15, 1000, 756, 1593, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 5000, 677, 1593, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 10000, 689, 1593, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 30000, 693, 1593, 42, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 60000, 708, 1593, 57, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 120000, 753, 1593, 90, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 300000, 753, 1593, 224, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 600000, 793, 1593, 370, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 1200000, 796, 1593, 617, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 2400000, 873, 1593, 1072, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 3600000, 941, 1593, 1319, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1000, 2876, 3191, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 5000, 2369, 3191, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 10000, 2348, 3191, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 30000, 2445, 3191, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 60000, 2664, 3191, 308, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 120000, 3066, 3191, 417, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 300000, 4234, 3191, 590, 109, 84, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 600000, 7586, 3191, 704, 221, 334, 375, 324, 198, 72, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1200000, 30743, 3191, 916, 566, 1147, 1815, 1962, 1854, 1152, 486, 162, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 2400000, 115873, 3191, 1148, 1059, 2017, 5391, 4572, 8424, 3582, 3780, 810, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 3600000, 142536, 3191, 1323, 1143, 2068, 5793, 4608, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1000, 14587, 5233, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 5000, 11607, 5233, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 10000, 7300, 5233, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 30000, 7546, 5233, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 60000, 7516, 5233, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 120000, 8841, 5233, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 300000, 9881, 5233, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 600000, 10128, 5233, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 1200000, 9964, 5233, 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 2400000, 11349, 5233, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 1, 10, 15, 3600000, 15208, 5233, 1509, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1000, 30362, 6766, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 5000, 23413, 6766, 257, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 10000, 20948, 6766, 280, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 30000, 21066, 6766, 400, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 60000, 23048, 6766, 480, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 120000, 25283, 6766, 938, 84, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 300000, 33385, 6766, 1802, 376, 128, 74, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 600000, 37732, 6766, 3169, 841, 365, 280, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 1200000, 56470, 6766, 6105, 2539, 2204, 1107, 734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 2400000, 81970, 6766, 11002, 5387, 8109, 2723, 4211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 1, 10, 15, 3600000, 88410, 6766, 14240, 5646, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 1000, 756, 1593, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 5000, 677, 1593, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 10000, 689, 1593, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 30000, 693, 1593, 42, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 60000, 708, 1593, 57, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 120000, 753, 1593, 90, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 300000, 753, 1593, 224, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 600000, 793, 1593, 370, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 1200000, 796, 1593, 617, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 2400000, 873, 1593, 1072, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 3600000, 941, 1593, 1319, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1000, 3803, 3191, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 5000, 2895, 3191, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 10000, 3093, 3191, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 30000, 3227, 3191, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 60000, 3409, 3191, 308, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 120000, 4773, 3191, 417, 49, 44, 51, 58, 20, 8, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 300000, 9365, 3191, 590, 160, 277, 370, 320, 222, 72, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 600000, 39639, 3191, 704, 276, 519, 965, 1216, 1860, 1332, 1428, 396, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1200000, 130182, 3191, 916, 823, 1789, 4974, 4284, 8676, 3474, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2400000, 144923, 3191, 1148, 1103, 2017, 5775, 4572, 9216, 3582, 4212, 810, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3600000, 234256, 3191, 1323, 1323, 2302, 8157, 5328, 14022, 4068, 6642, 810, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1000, 10437, 5233, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 5000, 8056, 5233, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 10000, 7897, 5233, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 30000, 7941, 5233, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 60000, 8700, 5233, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 120000, 13227, 5233, 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 300000, 12045, 5233, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 600000, 13468, 5233, 478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 1200000, 13220, 5233, 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 2400000, 16430, 5233, 884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
datamining, 7453, 10748, 1, 0, 10, 15, 3600000, 20553, 5233, 1509, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 1000, 27131, 6766, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 5000, 22246, 6766, 257, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 10000, 23383, 6766, 280, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 30000, 26270, 6766, 400, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 60000, 28779, 6766, 480, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 120000, 37785, 6766, 938, 183, 62, 139, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 300000, 39894, 6766, 1802, 645, 337, 274, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 600000, 43434, 6766, 3169, 1370, 1273, 564, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 1200000, 71449, 6766, 6105, 3891, 6467, 2028, 3510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 2400000, 90408, 6766, 11002, 5602, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 8671, 13652, 1, 0, 10, 15, 3600000, 94173, 6766, 14240, 5850, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1000, 9203, 4089, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 5000, 9350, 4089, 97, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 10000, 9445, 4089, 139, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 30000, 10405, 4089, 321, 120, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 60000, 11049, 4089, 631, 170, 98, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 120000, 12234, 4089, 929, 320, 174, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 300000, 14855, 4089, 1628, 651, 456, 128, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 600000, 16544, 4089, 2214, 1131, 742, 455, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1200000, 22476, 4089, 3275, 2136, 1816, 1241, 542, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2400000, 26457, 4089, 4570, 3021, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3600000, 27369, 4089, 5762, 3247, 2520, 1949, 921, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1000, 9440, 4089, 22, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 5000, 9593, 4089, 97, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 10000, 9772, 4089, 139, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 30000, 10886, 4089, 321, 136, 84, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 60000, 11529, 4089, 631, 172, 100, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 120000, 13335, 4089, 929, 412, 290, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 300000, 15882, 4089, 1628, 781, 540, 249, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 600000, 19701, 4089, 2214, 1534, 1152, 1065, 542, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1200000, 25975, 4089, 3275, 2416, 2229, 1744, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 2400000, 27177, 4089, 4570, 3035, 2390, 1788, 877, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 3600000, 28447, 4089, 5762, 3276, 2520, 1949, 921, 293, 44, 0, 0, 0, 0, 0, 0, 0, 0